publication,terrain_start,terrain_end,institut,commanditaire,echantillon_inscrits,configuration,lecture,score,detail,sources,statut
2026-08-24,2026-08-18,2026-08-19,Toluna Harris Interactive,M6 / RTL,1764,5 hypothèses de premier tour,Marine Le Pen,35–38 %,Toujours première dans les cinq configurations,Commission des sondages + RTL,Intégré comme dernière vague; détail complet à valider
2026-08-24,2026-08-18,2026-08-19,Toluna Harris Interactive,M6 / RTL,1764,Philippe + Attal simultanément,Jean-Luc Mélenchon,16 %,"Édouard Philippe 14 %, Gabriel Attal 8 %",Commission des sondages + RTL,Vérifié
2026-08-24,2026-08-18,2026-08-19,Toluna Harris Interactive,M6 / RTL,1764,Candidat central unique + Glucksmann,Jean-Luc Mélenchon / Édouard Philippe,17 % / 17 %,Glucksmann 10–11 % selon hypothèse,Commission des sondages + RTL,Vérifié
2026-08-24,2026-08-18,2026-08-19,Toluna Harris Interactive,M6 / RTL,1764,Candidat central unique + Glucksmann,Jean-Luc Mélenchon / Gabriel Attal,17 % / 15 %,Mélenchon devant Attal,Commission des sondages + RTL,Vérifié
2026-08-24,2026-08-18,2026-08-19,Toluna Harris Interactive,M6 / RTL,1764,Hypothèse François Hollande,Édouard Philippe / Jean-Luc Mélenchon,19 % / 17 %,Hollande 8 % ; Attal 14 % dans l'autre configuration citée,Commission des sondages + RTL,Vérifié
