indicateur,valeur,unite,source,url
Déficit public 2025,-5.1,% du PIB,Insee,https://www.insee.fr/fr/statistiques/8997691
Dette publique 2025,115.7,% du PIB,Insee,https://www.insee.fr/fr/statistiques/8997691
Dépenses publiques 2025,57.3,% du PIB,Insee,https://www.insee.fr/fr/statistiques/8997691
Recettes publiques 2025,52.2,% du PIB,Insee,https://www.insee.fr/fr/statistiques/8997691
Solde budgétaire État 2026,-134.627,Md€,Direction du Budget,https://www.budget.gouv.fr/reperes/loi_de_finances/articles/chiffres-cles-budget-etat-2026
