candidat,score_min,score_max,configuration
Marine Le Pen,34.0,36.0,Toutes configurations
Édouard Philippe,14.5,16.5,Avec Attal
Édouard Philippe,19.0,22.5,Seul candidat central
Gabriel Attal,7.5,8.5,Avec Philippe
Gabriel Attal,14.0,15.5,Seul candidat central
Jean-Luc Mélenchon,15.0,17.0,Selon hypothèses
Raphaël Glucksmann,11.5,14.0,Selon hypothèses
Olivier Faure,4.5,5.5,Selon hypothèses
Bruno Retailleau,6.0,10.0,Selon hypothèses
